inci_name,cas_no,function,substance
BACILLUS/MONASCUS/PLUKENETIA VOLUBILIS SEED/RICE BRAN FERMENT FILTRATE,,antimicrobial; antioxidant; skin-protecting,bacillus/monascus/plukenetia volubilis seed/rice bran ferment filtrate
PENTAISOSTEAROYL 3-GLYCERYL ASCORBATE,,antioxidant; humectant; skin-conditioning,pentaisostearoyl 3-glyceryl ascorbate
TETRAPEPTIDE-58,,skin-conditioning,tetrapeptide-58
METSCHNIKOWIA AGAVES EXTRACT,1309127-75-0,skin-protecting,metschnikowia agaves extract
SILICA CAPRYLYL SILYLATE,92797-60-9,viscosity-controlling,"Silane, trimethoxyoctyl-, hydrolysis products with silica"
ELEUTHEROCOCCUS NODIFLORUS ROOT EXTRACT,,emollient; humectant; skin-conditioning,eleutherococcus nodiflorus root extract
COSCINIUM FENESTRATUM STEM OIL,,skin-conditioning,coscinium fenestratum stem oil
SUCROSE TRIBEHENATE,84798-44-7,emollient; emulsifying; skin-conditioning,"[(2S,3S,4R,5R)-3,4-di(docosanoyloxy)-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl docosanoate"
PETROSELINUM CRISPUM MERISTEM CELL,,antioxidant; skin-protecting,petroselinum crispum meristem cell
TENACIBACULUM DISCOLOR FERMENT EXTRACT,,humectant; skin-conditioning,tenacibaculum discolor ferment extract
MYRISTOYL TETRAPEPTIDE-8,,skin-conditioning,myristoyl tetrapeptide-8
DIHYDROABIETYL BEHENATE,,emollient,dihydroabietyl behenate
HYDROLYZED FISH EGG MEMBRANE EXTRACT FILTRATE,,skin-conditioning,hydrolyzed fish egg membrane extract filtrate
SODIUM GLYCOGEN OCTENYLSUCCINATE,,humectant; skin-conditioning,sodium glycogen octenylsuccinate
RH-POLYPEPTIDE-64,,skin-conditioning; skin-protecting,rh-polypeptide-64
ABIES VEITCHII LEAF EXTRACT,,astringent; humectant,abies veitchii leaf extract
GLYCYRRHIZA GLABRA ROOT JUICE,84775-66-6,skin-conditioning,"(2-Bromo-4,5-diethoxyphenyl)acetonitrile"
CHENOPODIUM PALLIDICAULE SEED EXTRACT,,skin-protecting,chenopodium pallidicaule seed extract
MACROPIPER EXCELSUM LEAF EXTRACT,,skin-conditioning; skin-protecting,macropiper excelsum leaf extract
PICHIA ANOMALA EXTRACT,,skin-protecting,pichia anomala extract
HEXAPEPTIDE-56,,skin-conditioning,hexapeptide-56
KLUYVEROMYCES/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/SACCHAROMYCES LAC FERMENT,,skin-conditioning,kluyveromyces/lactobacillus/lactococcus/leuconostoc/saccharomyces lac ferment
HEILMOOR CLAY,,skin-conditioning,heilmoor clay
FUCOXANTHIN,3351-86-8,skin-conditioning,"[(1S,3R)-3-hydroxy-4-[18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyl-17-oxooctadeca-1,3,5,7,9,11,13,15-octaenylidene]-3,5,5-trimethylcyclohexyl] acetate"
OXIDIZED MICROCRYSTALLINE CERA,,viscosity-controlling,oxidized microcrystalline cera
ARGANIA SPINOSA SEEDCAKE EXTRACT,,humectant,argania spinosa seedcake extract
EUGENIA EDULIS FRUIT JUICE,,skin-conditioning,eugenia edulis fruit juice
CAPRYLYL TRIMETHICONE,187593-69-7,skin-conditioning,"Trisiloxane, 1,1,1,5,5,5-hexamethyl-3-octyl-3-[(trimethylsilyl)oxy]-"
BERBERIS VULGARIS ROOT/FRAGARIA CHILOENSIS FRUIT/LYCIUM CHINENSE FRUIT/MORUS NIGRA FRUIT EXTRACT,,skin-protecting,berberis vulgaris root/fragaria chiloensis fruit/lycium chinense fruit/morus nigra fruit extract
HYDROLYZED FISH CARTILAGE,,skin-conditioning,hydrolyzed fish cartilage
ISOSTEAROYLOXY CAPRYLYLBUTYRAMIDE,1971838-44-4,emollient; skin-conditioning,isostearoyloxy caprylylbutyramide
HYDROGENATED SOY POLYGLYCERIDES,912810-05-0,skin-conditioning; viscosity-controlling,hydrogenated soy polyglycerides
LEDEBOURIELLA SESELOIDES ROOT EXTRACT,,skin-conditioning,ledebouriella seseloides root extract
DIHEXYL ADIPATE,110-33-8,emollient; skin-conditioning; solvent,Dihexyl Adipate
PEG-12 DIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER,,film-forming,peg-12 dimethicone/bis-isobutyl ppg-20 crosspolymer
ERYTHROXYLUM CATUABA EXTRACT,,skin-protecting,erythroxylum catuaba extract
LITSEA GLUTINOSA LEAF EXTRACT,,humectant; skin-conditioning,litsea glutinosa leaf extract
DISODIUM LAURYL SULFOSUCCINATE,13192-12-6 / 19040-44-9 / 26838-05-1,cleansing; foam-boosting; foaming; hydrotrope; skin-conditioning; surfactant,disodium lauryl sulfosuccinate
CITRUS NOBILIS WATER,84929-38-4,skin-conditioning,citrus nobilis water
CYNODON DACTYLON POWDER,84649-95-6,skin-conditioning,cynodon dactylon powder
DIMETHICONE/PPG-20 CROSSPOLYMER,,emollient; viscosity-controlling,dimethicone/ppg-20 crosspolymer
PORPHYRIDIUM/ZINC FERMENT,,skin-protecting,porphyridium/zinc ferment
CARBOXYMETHYL CHITOSAN MYRISTAMIDE,,humectant,carboxymethyl chitosan myristamide
ETHOXYETHYL CYANOACRYLATE,21982-43-4,film-forming,Ethoxyethyl 2-cyanoacrylate
LACTOBACILLUS/ALFALFA LEAF/BRASSICA NAPUS SPROUT/CABBAGE LEAF/PANAX GINSENG BERRY/WHEAT GERM EXTRACT FERMENT FILTRATE,,skin-conditioning,lactobacillus/alfalfa leaf/brassica napus sprout/cabbage leaf/panax ginseng berry/wheat germ extract ferment filtrate
METHOXYETHYL ACRYLATE,3121-61-7,film-forming,2-Methoxyethyl acrylate
PENTAPEPTIDE-57 DIMER,,skin-conditioning,pentapeptide-57 dimer
CITRUS AURANTIUM BERGAMIA LEAF CELL EXTRACT,,antioxidant; skin-protecting,citrus aurantium bergamia leaf cell extract
RHODODENDRON MUCRONULATUM FLOWER EXTRACT,,antioxidant; astringent; emollient; skin-conditioning; skin-protecting,rhododendron mucronulatum flower extract
IRIS GERMANICA ROOT EXTRACT,85085-39-8,skin-conditioning,iris germanica root extract
