inci_name,cas_no,function,substance
Metschnikowia Agaves Extract,1309127-75-0,skin-protecting,metschnikowia agaves extract
Eleutherococcus Nodiflorus Root Extract,,emollient; humectant; skin-conditioning,eleutherococcus nodiflorus root extract
Coscinium Fenestratum Stem Oil,,skin-conditioning,coscinium fenestratum stem oil
Sucrose Tribehenate,84798-44-7,emollient; emulsifying; skin-conditioning,"[(2S,3S,4R,5R)-3,4-di(docosanoyloxy)-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl docosanoate"
Petroselinum Crispum Meristem Cell,,antioxidant; skin-protecting,petroselinum crispum meristem cell
Tenacibaculum Discolor Ferment Extract,,humectant; skin-conditioning,tenacibaculum discolor ferment extract
Myristoyl Tetrapeptide-8,,skin-conditioning,myristoyl tetrapeptide-8
Dihydroabietyl Behenate,,emollient,dihydroabietyl behenate
Hydrolyzed Fish Egg Membrane Extract Filtrate,,skin-conditioning,hydrolyzed fish egg membrane extract filtrate
Sodium Glycogen Octenylsuccinate,,humectant; skin-conditioning,sodium glycogen octenylsuccinate
Rh-Polypeptide-64,,skin-conditioning; skin-protecting,rh-polypeptide-64
Abies Veitchii Leaf Extract,,astringent; humectant,abies veitchii leaf extract
Glycyrrhiza Glabra Root Juice,84775-66-6,skin-conditioning,"(2-Bromo-4,5-diethoxyphenyl)acetonitrile"
Chenopodium Pallidicaule Seed Extract,,skin-protecting,chenopodium pallidicaule seed extract
Macropiper Excelsum Leaf Extract,,skin-conditioning; skin-protecting,macropiper excelsum leaf extract
Pichia Anomala Extract,,skin-protecting,pichia anomala extract
Hexapeptide-56,,skin-conditioning,hexapeptide-56
Kluyveromyceslactobacilluslactococcusleuconostocsaccharomyces Lac Ferment,,skin-conditioning,kluyveromyces/lactobacillus/lactococcus/leuconostoc/saccharomyces lac ferment
Heilmoor Clay,,skin-conditioning,heilmoor clay
Fucoxanthin,3351-86-8,skin-conditioning,"[(1S,3R)-3-hydroxy-4-[18-[(1S,4S,6R)-4-hydroxy-2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl]-3,7,12,16-tetramethyl-17-oxooctadeca-1,3,5,7,9,11,13,15-octaenylidene]-3,5,5-trimethylcyclohexyl] acetate"
Argania Spinosa Seedcake Extract,,humectant,argania spinosa seedcake extract
Eugenia Edulis Fruit Juice,,skin-conditioning,eugenia edulis fruit juice
Caprylyl Trimethicone,187593-69-7,skin-conditioning,"Trisiloxane, 1,1,1,5,5,5-hexamethyl-3-octyl-3-[(trimethylsilyl)oxy]-"
Berberis Vulgaris Rootfragaria Chiloensis Fruitlycium Chinense Fruitmorus Nigra Fruit Extract,,skin-protecting,berberis vulgaris root/fragaria chiloensis fruit/lycium chinense fruit/morus nigra fruit extract
Hydrolyzed Fish Cartilage,,skin-conditioning,hydrolyzed fish cartilage
Isostearoyloxy Caprylylbutyramide,1971838-44-4,emollient; skin-conditioning,isostearoyloxy caprylylbutyramide
Hydrogenated Soy Polyglycerides,912810-05-0,skin-conditioning; viscosity-controlling,hydrogenated soy polyglycerides
Ledebouriella Seseloides Root Extract,,skin-conditioning,ledebouriella seseloides root extract
Dihexyl Adipate,110-33-8,emollient; skin-conditioning; solvent,Dihexyl Adipate
Erythroxylum Catuaba Extract,,skin-protecting,erythroxylum catuaba extract
Litsea Glutinosa Leaf Extract,,humectant; skin-conditioning,litsea glutinosa leaf extract
Disodium Lauryl Sulfosuccinate,13192-12-6 / 19040-44-9 / 26838-05-1,cleansing; foam-boosting; foaming; hydrotrope; skin-conditioning; surfactant,disodium lauryl sulfosuccinate
Citrus Nobilis Water,84929-38-4,skin-conditioning,citrus nobilis water
Cynodon Dactylon Powder,84649-95-6,skin-conditioning,cynodon dactylon powder
Dimethiconeppg-20 Crosspolymer,,emollient; viscosity-controlling,dimethicone/ppg-20 crosspolymer
Porphyridiumzinc Ferment,,skin-protecting,porphyridium/zinc ferment
Carboxymethyl Chitosan Myristamide,,humectant,carboxymethyl chitosan myristamide
Lactobacillusalfalfa Leafbrassica Napus Sproutcabbage Leafpanax Ginseng Berrywheat Germ Extract Ferment Filtrate,,skin-conditioning,lactobacillus/alfalfa leaf/brassica napus sprout/cabbage leaf/panax ginseng berry/wheat germ extract ferment filtrate
Pentapeptide-57 Dimer,,skin-conditioning,pentapeptide-57 dimer
Citrus Aurantium Bergamia Leaf Cell Extract,,antioxidant; skin-protecting,citrus aurantium bergamia leaf cell extract
Rhododendron Mucronulatum Flower Extract,,antioxidant; astringent; emollient; skin-conditioning; skin-protecting,rhododendron mucronulatum flower extract
Iris Germanica Root Extract,85085-39-8,skin-conditioning,iris germanica root extract
Cassia Angustifolia Seed Polysaccharide,85187-05-9,skin-conditioning,cassia angustifolia seed polysaccharide
N-Caproyl Dopamine,930050-18-3,antioxidant; skin-protecting,N-Caproyl dopamine
Cupressus Sempervirens Leafnutstem Oil,84696-07-1 / 8013-86-3,emollient; masking; skin-conditioning,cupressus sempervirens leaf/nut/stem oil
Cnidium Monnieri Seed Powder,,abrasive; masking; skin-protecting,cnidium monnieri seed powder
Cocoglycerides,92045-31-3,emollient; emulsifying; skin-conditioning,cocoglycerides
Hexapeptide-50,,skin-conditioning,hexapeptide-50
Capsicum Frutescens Fruit Extract,85940-30-3,skin-conditioning,capsicum frutescens fruit extract
Carpinus Laxiflora Stem Extract,,antimicrobial; antioxidant; astringent; emollient,carpinus laxiflora stem extract
Citrus Limon Flower Water,,humectant; skin-conditioning,citrus limon flower water
R-Clostridium Histolyticum Collagenase H Hexapeptide-40,,skin-conditioning,r-clostridium histolyticum collagenase h hexapeptide-40
Escherichia Coliglucose Ferment Filtrate,,skin-conditioning,escherichia coli/glucose ferment filtrate
Dipeptide-41 Nicotinate,,skin-conditioning,dipeptide-41 nicotinate
Di-Ppg-2 Myreth-10 Adipate,,emollient; skin-conditioning; surfactant,di-ppg-2 myreth-10 adipate
Sh-Polypeptide-7 Sh-Oligopeptide-1,,skin-protecting,sh-polypeptide-7 sh-oligopeptide-1
Triolein Peg-6 Esters,,emollient; emulsifying; skin-conditioning; surfactant,triolein peg-6 esters
Sh-Oligopeptide-81 Amide,,antimicrobial; antiplaque; antiseborrhoeic; humectant; oral-care,sh-oligopeptide-81 amide
Trimethylpentanedioladipic Acid Copolymer,26139-53-7,skin-conditioning,trimethylpentanediol/adipic acid copolymer
Glycyl Sh-Oligopeptide-4,,skin-conditioning,glycyl sh-oligopeptide-4
Lathyrus Odoratus Flower Extract,90604-48-1,skin-conditioning,lathyrus odoratus flower extract
Cichorium Intybus Root Oligosaccharides,,skin-conditioning,cichorium intybus root oligosaccharides
Propagermanium,12758-40-6 / 126595-07-1,skin-conditioning,propagermanium
Carpotroche Brasiliensis Seed Oil,,skin-protecting,carpotroche brasiliensis seed oil
Aquamarine Powder,,binding; skin-protecting,aquamarine powder
Staphylococcus Epidermidis,,skin-conditioning,staphylococcus epidermidis
Ribes Rubrum Callus Powder,,antioxidant; skin-protecting,ribes rubrum callus powder
Thioctoyl Dipeptide-36 Amide Peg-2 Ethylamine,,antioxidant; emollient; skin-conditioning,thioctoyl dipeptide-36 amide peg-2 ethylamine
Costus Speciosus Rhizomeroot Extract,89997-95-5,skin-conditioning,costus speciosus rhizome/root extract
Hydrolyzed Millet,227025-36-7,skin-conditioning,hydrolyzed millet
Pegppgpolybutylene Glycol-853 Glycerin,,humectant,peg/ppg/polybutylene glycol-8/5/3 glycerin
Sodium Palmitoyl Proline,58725-33-0,skin-conditioning,Sodium;1-hexadecanoylpyrrolidine-2-carboxylate
Polygonatum Officinale Extract,,skin-conditioning,polygonatum officinale extract
Centaurea Cyanus Flower Water,84012-18-0,skin-conditioning,centaurea cyanus flower water
Gleditsia Triacanthos Wood Extract,,skin-conditioning,gleditsia triacanthos wood extract
Cordyceps Militaris Ferment Filtrate,,humectant; skin-conditioning,cordyceps militaris ferment filtrate
S-Mussel Oligopeptide-2,,emollient; humectant; skin-conditioning,s-mussel oligopeptide-2
Acetylated Hydrogenated Tallow Glyceride,68990-58-9,emollient; emulsifying; skin-conditioning,acetylated hydrogenated tallow glyceride
Aspergilluslactobacillussaccharomycesactinidia Arguta Fruitakebia Quinata Fruitcorylus Heterophylla Fruitdiospyros Lotus Fruitmorus Alba Fruitprunus Davidiana Fruitpyrus Lindleji Fruitrubus Crataegifolius Fruitvitis Amurensis Fruit Ferment Filtrate,,skin-conditioning,aspergillus/lactobacillus/saccharomyces/actinidia arguta fruit/akebia quinata fruit/corylus heterophylla fruit/diospyros lotus fruit/morus alba fruit/prunus davidiana fruit/pyrus lindleji fruit/rubus crataegifolius fruit/vitis amurensis fruit ferment filtrate
Ditrimethylolpropane Tetrahydroxystearate,,emollient; skin-conditioning,ditrimethylolpropane tetrahydroxystearate
Ozonized Macadamia Seed Oil,,skin-conditioning,ozonized macadamia seed oil
Vanilla Planifolia Fruit Oil,8024-06-4 / 84650-63-5,emollient; skin-conditioning,vanilla planifolia fruit oil
Sunflower Seed Oil Peg-8 Esters,,emollient; emulsifying; skin-conditioning; surfactant,sunflower seed oil peg-8 esters
Hydrolyzed Prune Seedcakemdi Copolymer,,skin-protecting,hydrolyzed prune seedcake/mdi copolymer
Octyldodecyl Isostearate,93803-87-3,skin-conditioning,Octyldodecyl Isostearate
Minoxidil Succinoyl Oligopeptide-143,,skin-conditioning,minoxidil succinoyl oligopeptide-143
Cupric Chloride,7447-39-4,skin-conditioning,Bromoxynil
Populus Nigra Barkbudleaftwig Extract,84650-39-5,skin-conditioning,populus nigra bark/bud/leaf/twig extract
Undecyl Dimethyl Oxazoline,,skin-conditioning,undecyl dimethyl oxazoline
Emmeisou Ekisu,,skin-conditioning,emmeisou ekisu
R-Methionyl Sh-Polypeptide-31 Decapeptide-40,,skin-conditioning; skin-protecting,r-(methionyl sh-polypeptide-31 decapeptide-40)
Verbascum Densiflorum Root Extract,,skin-conditioning,verbascum densiflorum root extract
Xanthoceras Sorbifolium Seed Oil,,antioxidant; skin-conditioning,xanthoceras sorbifolium seed oil
Propylene Glycol Diethylhexanoate,93981-97-6,emollient,Propylene Glycol Dicaprylate
Sorbeth-12 Hexacocoate,,emollient,sorbeth-12 hexacocoate
Solanum Lycopersicum Meristem Cell Culture Conditioned Media,,antioxidant; skin-conditioning,solanum lycopersicum meristem cell culture conditioned media
Vanilla Tahitensis Fruit Extract,94167-14-3,skin-conditioning,vanilla tahitensis fruit extract
Hexacosyl Glycol,97338-12-0,humectant; skin-conditioning,"1,2-Hexacosanediol"
Amomum Biflorum Leaf Extract,,antioxidant; humectant; skin-conditioning,amomum biflorum leaf extract
Orchis Maculata Flower Extract,90082-23-8,skin-conditioning,orchis maculata flower extract
Albatrellus Confluens Extract,,humectant; skin-conditioning,albatrellus confluens extract
Hydrolyzed Monascusrice Ferment Filtrate,,skin-conditioning,hydrolyzed monascus/rice ferment filtrate
